Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"TUBD1","Tubulin Delta 1","Protein Coding","55","GC17M059859","0.54","/cgi-bin/carddisp.pl?gene=TUBD1"
"MT3","Metallothionein 3","Protein Coding","55","GC16P056589","0.54","/cgi-bin/carddisp.pl?gene=MT3"
"TWF1","Twinfilin Actin Binding Protein 1","Protein Coding","55","GC12M043793","0.54","/cgi-bin/carddisp.pl?gene=TWF1"
"UBE3C","Ubiquitin Protein Ligase E3C","Protein Coding","55","GC07P157138","0.54","/cgi-bin/carddisp.pl?gene=UBE3C"
"ABCE1","ATP Binding Cassette Subfamily E Member 1","Protein Coding","55","GC04P145097","0.54","/cgi-bin/carddisp.pl?gene=ABCE1"
"RABEP1","Rabaptin, RAB GTPase Binding Effector Protein 1","Protein Coding","55","GC17P005282","0.54","/cgi-bin/carddisp.pl?gene=RABEP1"
"EIF3I","Eukaryotic Translation Initiation Factor 3 Subunit I","Protein Coding","55","GC01P032221","0.54","/cgi-bin/carddisp.pl?gene=EIF3I"
"RAB3GAP1","RAB3 GTPase Activating Protein Catalytic Subunit 1","Protein Coding","55","GC02P135052","0.54","/cgi-bin/carddisp.pl?gene=RAB3GAP1"
"ARHGAP17","Rho GTPase Activating Protein 17","Protein Coding","55","GC16M024931","0.54","/cgi-bin/carddisp.pl?gene=ARHGAP17"
"USP47","Ubiquitin Specific Peptidase 47","Protein Coding","55","GC11P011819","0.54","/cgi-bin/carddisp.pl?gene=USP47"
"NAT10","N-Acetyltransferase 10","Protein Coding","55","GC11P034084","0.54","/cgi-bin/carddisp.pl?gene=NAT10"
"RAB3GAP2","RAB3 GTPase Activating Non-Catalytic Protein Subunit 2","Protein Coding","55","GC01M220149","0.54","/cgi-bin/carddisp.pl?gene=RAB3GAP2"
"EIF3G","Eukaryotic Translation Initiation Factor 3 Subunit G","Protein Coding","55","GC19M010115","0.54","/cgi-bin/carddisp.pl?gene=EIF3G"
"EIF3J","Eukaryotic Translation Initiation Factor 3 Subunit J","Protein Coding","55","GC15P044537","0.54","/cgi-bin/carddisp.pl?gene=EIF3J"
"VPS39","VPS39, HOPS Complex Subunit","Protein Coding","55","GC15M042159","0.54","/cgi-bin/carddisp.pl?gene=VPS39"
"ZHX2","Zinc Fingers And Homeoboxes 2","Protein Coding","55","GC08P122781","0.54","/cgi-bin/carddisp.pl?gene=ZHX2"
"HIST1H1B","Histone Cluster 1 H1 Family Member B","Protein Coding","55","GC06M028023","0.54","/cgi-bin/carddisp.pl?gene=HIST1H1B"
"PIBF1","Progesterone Immunomodulatory Binding Factor 1","Protein Coding","55","GC13P072782","0.54","/cgi-bin/carddisp.pl?gene=PIBF1"
"RPL6","Ribosomal Protein L6","Protein Coding","55","GC12M112320","0.54","/cgi-bin/carddisp.pl?gene=RPL6"
"ERCC6L","ERCC Excision Repair 6 Like, Spindle Assembly Checkpoint Helicase","Protein Coding","55","GC0XM072204","0.54","/cgi-bin/carddisp.pl?gene=ERCC6L"
"ARAP3","ArfGAP With RhoGAP Domain, Ankyrin Repeat And PH Domain 3","Protein Coding","55","GC05M141653","0.54","/cgi-bin/carddisp.pl?gene=ARAP3"
"TOR1AIP1","Torsin 1A Interacting Protein 1","Protein Coding","55","GC01P179851","0.54","/cgi-bin/carddisp.pl?gene=TOR1AIP1"
"PDPR","Pyruvate Dehydrogenase Phosphatase Regulatory Subunit","Protein Coding","55","GC16P070113","0.54","/cgi-bin/carddisp.pl?gene=PDPR"
"XAB2","XPA Binding Protein 2","Protein Coding","55","GC19M007619","0.54","/cgi-bin/carddisp.pl?gene=XAB2"
"WDR48","WD Repeat Domain 48","Protein Coding","55","GC03P039093","0.54","/cgi-bin/carddisp.pl?gene=WDR48"
"HEXIM1","Hexamethylene Bisacetamide Inducible 1","Protein Coding","55","GC17P045147","0.54","/cgi-bin/carddisp.pl?gene=HEXIM1"
"FAM120A","Family With Sequence Similarity 120A","Protein Coding","55","GC09P093500","0.54","/cgi-bin/carddisp.pl?gene=FAM120A"
"NDUFB11","NADH:Ubiquinone Oxidoreductase Subunit B11","Protein Coding","55","GC0XM047142","0.54","/cgi-bin/carddisp.pl?gene=NDUFB11"
"QSOX1","Quiescin Sulfhydryl Oxidase 1","Protein Coding","55","GC01P180154","0.54","/cgi-bin/carddisp.pl?gene=QSOX1"
"MRPL15","Mitochondrial Ribosomal Protein L15","Protein Coding","55","GC08P054135","0.54","/cgi-bin/carddisp.pl?gene=MRPL15"
"OSBPL9","Oxysterol Binding Protein Like 9","Protein Coding","55","GC01P051577","0.54","/cgi-bin/carddisp.pl?gene=OSBPL9"
"TRIP4","Thyroid Hormone Receptor Interactor 4","Protein Coding","55","GC15P066846","0.54","/cgi-bin/carddisp.pl?gene=TRIP4"
"EIF3C","Eukaryotic Translation Initiation Factor 3 Subunit C","Protein Coding","55","GC16P028700","0.54","/cgi-bin/carddisp.pl?gene=EIF3C"
"LAPTM5","Lysosomal Protein Transmembrane 5","Protein Coding","55","GC01M030700","0.54","/cgi-bin/carddisp.pl?gene=LAPTM5"
"SRSF6","Serine And Arginine Rich Splicing Factor 6","Protein Coding","55","GC20P043457","0.54","/cgi-bin/carddisp.pl?gene=SRSF6"
"EIF3B","Eukaryotic Translation Initiation Factor 3 Subunit B","Protein Coding","55","GC07P002354","0.54","/cgi-bin/carddisp.pl?gene=EIF3B"
"SULT1A3","Sulfotransferase Family 1A Member 3","Protein Coding","55","GC16P030199","0.54","/cgi-bin/carddisp.pl?gene=SULT1A3"
"RNF20","Ring Finger Protein 20","Protein Coding","55","GC09P101533","0.54","/cgi-bin/carddisp.pl?gene=RNF20"
"ASAP2","ArfGAP With SH3 Domain, Ankyrin Repeat And PH Domain 2","Protein Coding","55","GC02P009193","0.54","/cgi-bin/carddisp.pl?gene=ASAP2"
"DDX23","DEAD-Box Helicase 23","Protein Coding","55","GC12M048829","0.54","/cgi-bin/carddisp.pl?gene=DDX23"
"DBNL","Drebrin Like","Protein Coding","55","GC07P044044","0.54","/cgi-bin/carddisp.pl?gene=DBNL"
"AP3B2","Adaptor Related Protein Complex 3 Beta 2 Subunit","Protein Coding","55","GC15M082675","0.54","/cgi-bin/carddisp.pl?gene=AP3B2"
"AP3D1","Adaptor Related Protein Complex 3 Delta 1 Subunit","Protein Coding","55","GC19M002101","0.54","/cgi-bin/carddisp.pl?gene=AP3D1"
"KLHL13","Kelch Like Family Member 13","Protein Coding","55","GC0XM117897","0.54","/cgi-bin/carddisp.pl?gene=KLHL13"
"COG7","Component Of Oligomeric Golgi Complex 7","Protein Coding","55","GC16M023307","0.54","/cgi-bin/carddisp.pl?gene=COG7"
"TIMELESS","Timeless Circadian Clock","Protein Coding","55","GC12M056416","0.54","/cgi-bin/carddisp.pl?gene=TIMELESS"
"TET1","Tet Methylcytosine Dioxygenase 1","Protein Coding","55","GC10P068560","0.54","/cgi-bin/carddisp.pl?gene=TET1"
"AP2A1","Adaptor Related Protein Complex 2 Alpha 1 Subunit","Protein Coding","55","GC19P049766","0.54","/cgi-bin/carddisp.pl?gene=AP2A1"
"AP2A2","Adaptor Related Protein Complex 2 Alpha 2 Subunit","Protein Coding","55","GC11P000915","0.54","/cgi-bin/carddisp.pl?gene=AP2A2"
"CPSF3","Cleavage And Polyadenylation Specific Factor 3","Protein Coding","55","GC02P009423","0.54","/cgi-bin/carddisp.pl?gene=CPSF3"
"NGB","Neuroglobin","Protein Coding","55","GC14M077265","0.54","/cgi-bin/carddisp.pl?gene=NGB"
"SF3A1","Splicing Factor 3a Subunit 1","Protein Coding","55","GC22M030331","0.54","/cgi-bin/carddisp.pl?gene=SF3A1"
"SF3B3","Splicing Factor 3b Subunit 3","Protein Coding","55","GC16P070523","0.54","/cgi-bin/carddisp.pl?gene=SF3B3"
"SF3B2","Splicing Factor 3b Subunit 2","Protein Coding","55","GC11P066050","0.54","/cgi-bin/carddisp.pl?gene=SF3B2"
"SH3PXD2B","SH3 And PX Domains 2B","Protein Coding","55","GC05M172325","0.54","/cgi-bin/carddisp.pl?gene=SH3PXD2B"
"TMX3","Thioredoxin Related Transmembrane Protein 3","Protein Coding","55","GC18M068673","0.54","/cgi-bin/carddisp.pl?gene=TMX3"
"ASAP1","ArfGAP With SH3 Domain, Ankyrin Repeat And PH Domain 1","Protein Coding","55","GC08M130052","0.54","/cgi-bin/carddisp.pl?gene=ASAP1"
"TNPO2","Transportin 2","Protein Coding","55","GC19M012699","0.54","/cgi-bin/carddisp.pl?gene=TNPO2"
"TFIP11","Tuftelin Interacting Protein 11","Protein Coding","55","GC22M026491","0.54","/cgi-bin/carddisp.pl?gene=TFIP11"
"NFYA","Nuclear Transcription Factor Y Subunit Alpha","Protein Coding","55","GC06P041040","0.54","/cgi-bin/carddisp.pl?gene=NFYA"
"NFYB","Nuclear Transcription Factor Y Subunit Beta","Protein Coding","55","GC12M104117","0.54","/cgi-bin/carddisp.pl?gene=NFYB"
"COG2","Component Of Oligomeric Golgi Complex 2","Protein Coding","55","GC01P230642","0.54","/cgi-bin/carddisp.pl?gene=COG2"
"SYMPK","Symplekin","Protein Coding","55","GC19M045815","0.54","/cgi-bin/carddisp.pl?gene=SYMPK"
"SUMO4","Small Ubiquitin-Like Modifier 4","Protein Coding","55","GC06P149401","0.54","/cgi-bin/carddisp.pl?gene=SUMO4"
"PPME1","Protein Phosphatase Methylesterase 1","Protein Coding","55","GC11P074170","0.54","/cgi-bin/carddisp.pl?gene=PPME1"
"CLASP1","Cytoplasmic Linker Associated Protein 1","Protein Coding","55","GC02M121337","0.54","/cgi-bin/carddisp.pl?gene=CLASP1"
"B3GALT4","Beta-1,3-Galactosyltransferase 4","Protein Coding","55","GC06P033277","0.54","/cgi-bin/carddisp.pl?gene=B3GALT4"
"DDX39B","DExD-Box Helicase 39B","Protein Coding","55","GC06M031530","0.54","/cgi-bin/carddisp.pl?gene=DDX39B"
"DDX21","DExD-Box Helicase 21","Protein Coding","55","GC10P068956","0.54","/cgi-bin/carddisp.pl?gene=DDX21"
"DHX36","DEAH-Box Helicase 36","Protein Coding","55","GC03M154272","0.54","/cgi-bin/carddisp.pl?gene=DHX36"
"DLGAP5","DLG Associated Protein 5","Protein Coding","55","GC14M055148","0.54","/cgi-bin/carddisp.pl?gene=DLGAP5"
"DHX15","DEAH-Box Helicase 15","Protein Coding","55","GC04M024519","0.54","/cgi-bin/carddisp.pl?gene=DHX15"
"DHX8","DEAH-Box Helicase 8","Protein Coding","55","GC17P043483","0.54","/cgi-bin/carddisp.pl?gene=DHX8"
"CYGB","Cytoglobin","Protein Coding","55","GC17M076527","0.54","/cgi-bin/carddisp.pl?gene=CYGB"
"DCTN4","Dynactin Subunit 4","Protein Coding","55","GC05M150708","0.54","/cgi-bin/carddisp.pl?gene=DCTN4"
"COG4","Component Of Oligomeric Golgi Complex 4","Protein Coding","55","GC16M070514","0.54","/cgi-bin/carddisp.pl?gene=COG4"
"KIF14","Kinesin Family Member 14","Protein Coding","55","GC01M200521","0.54","/cgi-bin/carddisp.pl?gene=KIF14"
"KIF13B","Kinesin Family Member 13B","Protein Coding","55","GC08M029067","0.54","/cgi-bin/carddisp.pl?gene=KIF13B"
"COPS3","COP9 Signalosome Subunit 3","Protein Coding","55","GC17M017246","0.54","/cgi-bin/carddisp.pl?gene=COPS3"
"KIF4A","Kinesin Family Member 4A","Protein Coding","55","GC0XP070290","0.54","/cgi-bin/carddisp.pl?gene=KIF4A"
"CPSF1","Cleavage And Polyadenylation Specific Factor 1","Protein Coding","55","GC08M144393","0.54","/cgi-bin/carddisp.pl?gene=CPSF1"
"MRPS7","Mitochondrial Ribosomal Protein S7","Protein Coding","54","GC17P075262","0.54","/cgi-bin/carddisp.pl?gene=MRPS7"
"HUNK","Hormonally Up-Regulated Neu-Associated Kinase","Protein Coding","54","GC21P031873","0.54","/cgi-bin/carddisp.pl?gene=HUNK"
"TRIP13","Thyroid Hormone Receptor Interactor 13","Protein Coding","54","GC05P000892","0.54","/cgi-bin/carddisp.pl?gene=TRIP13"
"CEP170","Centrosomal Protein 170","Protein Coding","54","GC01M243124","0.54","/cgi-bin/carddisp.pl?gene=CEP170"
"SAP30BP","SAP30 Binding Protein","Protein Coding","54","GC17P075667","0.54","/cgi-bin/carddisp.pl?gene=SAP30BP"
"GPSM1","G-Protein Signaling Modulator 1","Protein Coding","54","GC09P136327","0.54","/cgi-bin/carddisp.pl?gene=GPSM1"
"EXOC4","Exocyst Complex Component 4","Protein Coding","54","GC07P133253","0.54","/cgi-bin/carddisp.pl?gene=EXOC4"
"MYOZ2","Myozenin 2","Protein Coding","54","GC04P119135","0.54","/cgi-bin/carddisp.pl?gene=MYOZ2"
"ATP5L","ATP Synthase, H+ Transporting, Mitochondrial Fo Complex Subunit G","Protein Coding","54","GC11P118402","0.54","/cgi-bin/carddisp.pl?gene=ATP5L"
"NEUROG2","Neurogenin 2","Protein Coding","54","GC04M112513","0.54","/cgi-bin/carddisp.pl?gene=NEUROG2"
"RAPGEF5","Rap Guanine Nucleotide Exchange Factor 5","Protein Coding","54","GC07M022128","0.54","/cgi-bin/carddisp.pl?gene=RAPGEF5"
"NCAPH","Non-SMC Condensin I Complex Subunit H","Protein Coding","54","GC02P096365","0.54","/cgi-bin/carddisp.pl?gene=NCAPH"
"NCAPD3","Non-SMC Condensin II Complex Subunit D3","Protein Coding","54","GC11M134150","0.54","/cgi-bin/carddisp.pl?gene=NCAPD3"
"GRPEL1","GrpE Like 1, Mitochondrial","Protein Coding","54","GC04M007060","0.54","/cgi-bin/carddisp.pl?gene=GRPEL1"
"RBM28","RNA Binding Motif Protein 28","Protein Coding","54","GC07M128298","0.54","/cgi-bin/carddisp.pl?gene=RBM28"
"CAND1","Cullin Associated And Neddylation Dissociated 1","Protein Coding","54","GC12P067270","0.54","/cgi-bin/carddisp.pl?gene=CAND1"
"SRPRB","SRP Receptor Beta Subunit","Protein Coding","54","GC03P133784","0.54","/cgi-bin/carddisp.pl?gene=SRPRB"
"STAU1","Staufen Double-Stranded RNA Binding Protein 1","Protein Coding","54","GC20M049113","0.54","/cgi-bin/carddisp.pl?gene=STAU1"
"MED14","Mediator Complex Subunit 14","Protein Coding","54","GC0XM040648","0.54","/cgi-bin/carddisp.pl?gene=MED14"
"CNOT1","CCR4-NOT Transcription Complex Subunit 1","Protein Coding","54","GC16M058519","0.54","/cgi-bin/carddisp.pl?gene=CNOT1"
"PPP1R10","Protein Phosphatase 1 Regulatory Subunit 10","Protein Coding","54","GC06M030568","0.54","/cgi-bin/carddisp.pl?gene=PPP1R10"
"COPB1","Coatomer Protein Complex Subunit Beta 1","Protein Coding","54","GC11M014436","0.54","/cgi-bin/carddisp.pl?gene=COPB1"
"SF1","Splicing Factor 1","Protein Coding","54","GC11M064764","0.54","/cgi-bin/carddisp.pl?gene=SF1"
"MYO1B","Myosin IB","Protein Coding","54","GC02P191246","0.54","/cgi-bin/carddisp.pl?gene=MYO1B"
"CCT8","Chaperonin Containing TCP1 Subunit 8","Protein Coding","54","GC21M029055","0.54","/cgi-bin/carddisp.pl?gene=CCT8"
"ABI2","Abl Interactor 2","Protein Coding","54","GC02P203327","0.54","/cgi-bin/carddisp.pl?gene=ABI2"
"RUFY1","RUN And FYVE Domain Containing 1","Protein Coding","54","GC05P179550","0.54","/cgi-bin/carddisp.pl?gene=RUFY1"
"NUDT6","Nudix Hydrolase 6","Protein Coding","54","GC04M122888","0.54","/cgi-bin/carddisp.pl?gene=NUDT6"
"ILF2","Interleukin Enhancer Binding Factor 2","Protein Coding","54","GC01M153634","0.54","/cgi-bin/carddisp.pl?gene=ILF2"
"ARIH2","Ariadne RBR E3 Ubiquitin Protein Ligase 2","Protein Coding","54","GC03P048931","0.54","/cgi-bin/carddisp.pl?gene=ARIH2"
"ACTR1B","ARP1 Actin-Related Protein 1 Homolog B, Centractin Beta","Protein Coding","54","GC02M097638","0.54","/cgi-bin/carddisp.pl?gene=ACTR1B"
"GTPBP4","GTP Binding Protein 4","Protein Coding","54","GC10P000988","0.54","/cgi-bin/carddisp.pl?gene=GTPBP4"
"TRA2A","Transformer 2 Alpha Homolog","Protein Coding","54","GC07M023504","0.54","/cgi-bin/carddisp.pl?gene=TRA2A"
"TRA2B","Transformer 2 Beta Homolog (Drosophila)","Protein Coding","54","GC03M185914","0.54","/cgi-bin/carddisp.pl?gene=TRA2B"
"TOR2A","Torsin Family 2 Member A","Protein Coding","54","GC09M127732","0.54","/cgi-bin/carddisp.pl?gene=TOR2A"
"WRNIP1","Werner Helicase Interacting Protein 1","Protein Coding","54","GC06P002766","0.54","/cgi-bin/carddisp.pl?gene=WRNIP1"
"VPS33A","VPS33A, CORVET/HOPS Core Subunit","Protein Coding","54","GC12M122229","0.54","/cgi-bin/carddisp.pl?gene=VPS33A"
"GAPVD1","GTPase Activating Protein And VPS9 Domains 1","Protein Coding","54","GC09P125261","0.54","/cgi-bin/carddisp.pl?gene=GAPVD1"
"EHBP1","EH Domain Binding Protein 1","Protein Coding","54","GC02P062673","0.54","/cgi-bin/carddisp.pl?gene=EHBP1"
"LUC7L","LUC7 Like","Protein Coding","54","GC16M000188","0.54","/cgi-bin/carddisp.pl?gene=LUC7L"
"UGGT1","UDP-Glucose Glycoprotein Glucosyltransferase 1","Protein Coding","54","GC02P128091","0.54","/cgi-bin/carddisp.pl?gene=UGGT1"
"PAF1","PAF1 Homolog, Paf1/RNA Polymerase II Complex Component","Protein Coding","54","GC19M039385","0.54","/cgi-bin/carddisp.pl?gene=PAF1"
"HERC5","HECT And RLD Domain Containing E3 Ubiquitin Protein Ligase 5","Protein Coding","54","GC04P088457","0.54","/cgi-bin/carddisp.pl?gene=HERC5"
"FIP1L1","Factor Interacting With PAPOLA And CPSF1","Protein Coding","54","GC04P053378","0.54","/cgi-bin/carddisp.pl?gene=FIP1L1"
"TUBGCP6","Tubulin Gamma Complex Associated Protein 6","Protein Coding","54","GC22M050217","0.54","/cgi-bin/carddisp.pl?gene=TUBGCP6"
"HERC4","HECT And RLD Domain Containing E3 Ubiquitin Protein Ligase 4","Protein Coding","54","GC10M067921","0.54","/cgi-bin/carddisp.pl?gene=HERC4"
"MRPL19","Mitochondrial Ribosomal Protein L19","Protein Coding","54","GC02P075646","0.54","/cgi-bin/carddisp.pl?gene=MRPL19"
"API5","Apoptosis Inhibitor 5","Protein Coding","54","GC11P043333","0.54","/cgi-bin/carddisp.pl?gene=API5"
"TTC37","Tetratricopeptide Repeat Domain 37","Protein Coding","54","GC05M095463","0.54","/cgi-bin/carddisp.pl?gene=TTC37"
"VBP1","VHL Binding Protein 1","Protein Coding","54","GC0XP155197","0.54","/cgi-bin/carddisp.pl?gene=VBP1"
"ARHGEF18","Rho/Rac Guanine Nucleotide Exchange Factor 18","Protein Coding","54","GC19P007351","0.54","/cgi-bin/carddisp.pl?gene=ARHGEF18"
"EXOC3","Exocyst Complex Component 3","Protein Coding","54","GC05P000443","0.54","/cgi-bin/carddisp.pl?gene=EXOC3"
"RPS25","Ribosomal Protein S25","Protein Coding","54","GC11M119015","0.54","/cgi-bin/carddisp.pl?gene=RPS25"
"MPHOSPH10","M-Phase Phosphoprotein 10","Protein Coding","54","GC02P071130","0.54","/cgi-bin/carddisp.pl?gene=MPHOSPH10"
"EHD4","EH Domain Containing 4","Protein Coding","54","GC15M041895","0.54","/cgi-bin/carddisp.pl?gene=EHD4"
"USP48","Ubiquitin Specific Peptidase 48","Protein Coding","54","GC01M021750","0.54","/cgi-bin/carddisp.pl?gene=USP48"
"EIF3D","Eukaryotic Translation Initiation Factor 3 Subunit D","Protein Coding","54","GC22M036510","0.54","/cgi-bin/carddisp.pl?gene=EIF3D"
"TSR1","TSR1, Ribosome Maturation Factor","Protein Coding","54","GC17M002322","0.54","/cgi-bin/carddisp.pl?gene=TSR1"
"IGSF3","Immunoglobulin Superfamily Member 3","Protein Coding","54","GC01M116574","0.54","/cgi-bin/carddisp.pl?gene=IGSF3"
"ARID4B","AT-Rich Interaction Domain 4B","Protein Coding","54","GC01M235133","0.54","/cgi-bin/carddisp.pl?gene=ARID4B"
"RCC2","Regulator Of Chromosome Condensation 2","Protein Coding","54","GC01M017406","0.54","/cgi-bin/carddisp.pl?gene=RCC2"
"CSDE1","Cold Shock Domain Containing E1","Protein Coding","54","GC01M114716","0.54","/cgi-bin/carddisp.pl?gene=CSDE1"
"CTR9","CTR9 Homolog, Paf1/RNA Polymerase II Complex Component","Protein Coding","54","GC11P010772","0.54","/cgi-bin/carddisp.pl?gene=CTR9"
"AP3M1","Adaptor Related Protein Complex 3 Mu 1 Subunit","Protein Coding","54","GC10M074120","0.54","/cgi-bin/carddisp.pl?gene=AP3M1"
"FUBP1","Far Upstream Element Binding Protein 1","Protein Coding","54","GC01M077944","0.54","/cgi-bin/carddisp.pl?gene=FUBP1"
"CPNE1","Copine 1","Protein Coding","54","GC20M035626","0.54","/cgi-bin/carddisp.pl?gene=CPNE1"
"SEC24A","SEC24 Homolog A, COPII Coat Complex Component","Protein Coding","54","GC05P134649","0.54","/cgi-bin/carddisp.pl?gene=SEC24A"
"PRAME","Preferentially Expressed Antigen In Melanoma","Protein Coding","54","GC22M022547","0.54","/cgi-bin/carddisp.pl?gene=PRAME"
"TIMM44","Translocase Of Inner Mitochondrial Membrane 44","Protein Coding","54","GC19M007926","0.54","/cgi-bin/carddisp.pl?gene=TIMM44"
"TMOD1","Tropomodulin 1","Protein Coding","54","GC09P097501","0.54","/cgi-bin/carddisp.pl?gene=TMOD1"
"OAZ1","Ornithine Decarboxylase Antizyme 1","Protein Coding","54","GC19P002269","0.54","/cgi-bin/carddisp.pl?gene=OAZ1"
"PRDM5","PR/SET Domain 5","Protein Coding","54","GC04M120686","0.54","/cgi-bin/carddisp.pl?gene=PRDM5"
"SEMA3B","Semaphorin 3B","Protein Coding","54","GC03P050267","0.54","/cgi-bin/carddisp.pl?gene=SEMA3B"
"TELO2","Telomere Maintenance 2","Protein Coding","54","GC16P001493","0.54","/cgi-bin/carddisp.pl?gene=TELO2"
"THOC2","THO Complex 2","Protein Coding","54","GC0XM123600","0.54","/cgi-bin/carddisp.pl?gene=THOC2"
"TBL2","Transducin Beta Like 2","Protein Coding","54","GC07M073568","0.54","/cgi-bin/carddisp.pl?gene=TBL2"
"DYNC1LI1","Dynein Cytoplasmic 1 Light Intermediate Chain 1","Protein Coding","54","GC03M032543","0.54","/cgi-bin/carddisp.pl?gene=DYNC1LI1"
"DYNC1I2","Dynein Cytoplasmic 1 Intermediate Chain 2","Protein Coding","54","GC02P171687","0.54","/cgi-bin/carddisp.pl?gene=DYNC1I2"
"DDX46","DEAD-Box Helicase 46","Protein Coding","54","GC05P134758","0.54","/cgi-bin/carddisp.pl?gene=DDX46"
"DNAJC13","DnaJ Heat Shock Protein Family (Hsp40) Member C13","Protein Coding","54","GC03P132417","0.54","/cgi-bin/carddisp.pl?gene=DNAJC13"
"DNAJB11","DnaJ Heat Shock Protein Family (Hsp40) Member B11","Protein Coding","54","GC03P186567","0.54","/cgi-bin/carddisp.pl?gene=DNAJB11"
"DHX29","DExH-Box Helicase 29","Protein Coding","54","GC05M055256","0.54","/cgi-bin/carddisp.pl?gene=DHX29"
"DHX40","DEAH-Box Helicase 40","Protein Coding","54","GC17P059565","0.54","/cgi-bin/carddisp.pl?gene=DHX40"
"DCD","Dermcidin","Protein Coding","54","GC12M054644","0.54","/cgi-bin/carddisp.pl?gene=DCD"
"CPNE3","Copine 3","Protein Coding","54","GC08P086514","0.54","/cgi-bin/carddisp.pl?gene=CPNE3"
"TBCD","Tubulin Folding Cofactor D","Protein Coding","54","GC17P082752","0.54","/cgi-bin/carddisp.pl?gene=TBCD"
"SH2B2","SH2B Adaptor Protein 2","Protein Coding","54","GC07P102286","0.54","/cgi-bin/carddisp.pl?gene=SH2B2"
"SF3A3","Splicing Factor 3a Subunit 3","Protein Coding","54","GC01M037886","0.54","/cgi-bin/carddisp.pl?gene=SF3A3"
"DPYSL4","Dihydropyrimidinase Like 4","Protein Coding","54","GC10P132185","0.54","/cgi-bin/carddisp.pl?gene=DPYSL4"
"DDX42","DEAD-Box Helicase 42","Protein Coding","54","GC17P063773","0.54","/cgi-bin/carddisp.pl?gene=DDX42"
"PRPF19","Pre-MRNA Processing Factor 19","Protein Coding","53","GC11M060890","0.54","/cgi-bin/carddisp.pl?gene=PRPF19"
"PLRG1","Pleiotropic Regulator 1","Protein Coding","53","GC04M154534","0.54","/cgi-bin/carddisp.pl?gene=PLRG1"
"FHOD1","Formin Homology 2 Domain Containing 1","Protein Coding","53","GC16M067263","0.54","/cgi-bin/carddisp.pl?gene=FHOD1"
"EIF5B","Eukaryotic Translation Initiation Factor 5B","Protein Coding","53","GC02P099320","0.54","/cgi-bin/carddisp.pl?gene=EIF5B"
"HNRNPA0","Heterogeneous Nuclear Ribonucleoprotein A0","Protein Coding","53","GC05M137750","0.54","/cgi-bin/carddisp.pl?gene=HNRNPA0"
"HOXB6","Homeobox B6","Protein Coding","53","GC17M048594","0.54","/cgi-bin/carddisp.pl?gene=HOXB6"
"CHCHD3","Coiled-Coil-Helix-Coiled-Coil-Helix Domain Containing 3","Protein Coding","53","GC07M132784","0.54","/cgi-bin/carddisp.pl?gene=CHCHD3"
"SARM1","Sterile Alpha And TIR Motif Containing 1","Protein Coding","53","GC17P028364","0.54","/cgi-bin/carddisp.pl?gene=SARM1"
"EXOC8","Exocyst Complex Component 8","Protein Coding","53","GC01M231332","0.54","/cgi-bin/carddisp.pl?gene=EXOC8"
"NOM1","Nucleolar Protein With MIF4G Domain 1","Protein Coding","53","GC07P156949","0.54","/cgi-bin/carddisp.pl?gene=NOM1"
"SUN2","Sad1 And UNC84 Domain Containing 2","Protein Coding","53","GC22M040625","0.54","/cgi-bin/carddisp.pl?gene=SUN2"
"PSME4","Proteasome Activator Subunit 4","Protein Coding","53","GC02M053864","0.54","/cgi-bin/carddisp.pl?gene=PSME4"
"POP1","POP1 Homolog, Ribonuclease P/MRP Subunit","Protein Coding","53","GC08P098117","0.54","/cgi-bin/carddisp.pl?gene=POP1"
"RP9","Retinitis Pigmentosa 9 (Autosomal Dominant)","Protein Coding","53","GC07M033134","0.54","/cgi-bin/carddisp.pl?gene=RP9"
"LPGAT1","Lysophosphatidylglycerol Acyltransferase 1","Protein Coding","53","GC01M211743","0.54","/cgi-bin/carddisp.pl?gene=LPGAT1"
"ATP13A1","ATPase 13A1","Protein Coding","53","GC19M019645","0.54","/cgi-bin/carddisp.pl?gene=ATP13A1"
"NUP88","Nucleoporin 88","Protein Coding","53","GC17M005366","0.54","/cgi-bin/carddisp.pl?gene=NUP88"
"RBFOX2","RNA Binding Protein, Fox-1 Homolog 2","Protein Coding","53","GC22M035738","0.54","/cgi-bin/carddisp.pl?gene=RBFOX2"
"NUP85","Nucleoporin 85","Protein Coding","53","GC17P075205","0.54","/cgi-bin/carddisp.pl?gene=NUP85"
"NUF2","NUF2, NDC80 Kinetochore Complex Component","Protein Coding","53","GC01P163236","0.54","/cgi-bin/carddisp.pl?gene=NUF2"
"CCAR1","Cell Division Cycle And Apoptosis Regulator 1","Protein Coding","53","GC10P068721","0.54","/cgi-bin/carddisp.pl?gene=CCAR1"
"GPS1","G Protein Pathway Suppressor 1","Protein Coding","53","GC17P082050","0.54","/cgi-bin/carddisp.pl?gene=GPS1"
"SUPV3L1","Suv3 Like RNA Helicase","Protein Coding","53","GC10P069182","0.54","/cgi-bin/carddisp.pl?gene=SUPV3L1"
"PPP4R1","Protein Phosphatase 4 Regulatory Subunit 1","Protein Coding","53","GC18M009546","0.54","/cgi-bin/carddisp.pl?gene=PPP4R1"
"CLINT1","Clathrin Interactor 1","Protein Coding","53","GC05M157785","0.54","/cgi-bin/carddisp.pl?gene=CLINT1"
